Version 4
SHEET 1 6000 2436
WIRE 96 -32 -240 -32
WIRE 320 -32 96 -32
WIRE 640 -32 320 -32
WIRE 784 -32 736 -32
WIRE 1024 -32 1024 -192
WIRE 1024 -32 784 -32
WIRE 1072 -32 1024 -32
WIRE 1232 -32 1232 -192
WIRE 1232 -32 1152 -32
WIRE 1472 -32 1232 -32
WIRE 1840 -32 1472 -32
WIRE 2000 -32 1840 -32
WIRE 1472 16 1472 -32
WIRE 208 96 160 96
WIRE 256 96 208 96
WIRE 1472 112 1472 96
WIRE 1472 112 1392 112
WIRE 1776 112 1712 112
WIRE 688 128 688 32
WIRE 784 128 784 -32
WIRE 1472 144 1472 112
WIRE -240 176 -240 -32
WIRE 96 176 96 144
WIRE 208 176 208 96
WIRE 208 176 96 176
WIRE 320 208 320 144
WIRE 736 208 736 192
WIRE 736 208 320 208
WIRE 928 208 736 208
WIRE 96 304 96 176
WIRE 320 304 320 208
WIRE 1840 304 1840 -32
WIRE 2000 304 2000 -32
WIRE 1472 320 1472 224
WIRE 1600 320 1472 320
WIRE 1712 320 1712 112
WIRE -32 352 -144 352
WIRE 32 352 -32 352
WIRE 784 352 384 352
WIRE 1392 352 1392 112
WIRE 1392 352 784 352
WIRE -32 400 -32 352
WIRE 1712 400 1648 400
WIRE 1472 416 1472 320
WIRE 96 432 96 400
WIRE 208 432 96 432
WIRE 320 432 320 400
WIRE 320 432 208 432
WIRE 208 464 208 432
WIRE 1712 496 1712 400
WIRE -240 576 -240 256
WIRE -32 576 -32 480
WIRE -32 576 -240 576
WIRE 208 576 208 544
WIRE 208 576 -32 576
WIRE 1472 576 1472 496
WIRE 1472 576 208 576
WIRE 1600 576 1600 416
WIRE 1600 576 1472 576
WIRE 1712 576 1600 576
WIRE 1840 576 1840 384
WIRE 1840 576 1712 576
WIRE 2000 576 2000 368
WIRE 2000 576 1840 576
WIRE 1424 720 1168 720
WIRE 1024 848 928 848
WIRE 1168 848 1168 800
WIRE 1168 848 1104 848
WIRE 1248 848 1168 848
WIRE 1248 896 1248 848
WIRE 1280 896 1248 896
WIRE 1424 912 1424 720
WIRE 1424 912 1344 912
WIRE 1632 912 1424 912
WIRE 1280 928 1248 928
WIRE 1024 976 928 976
WIRE 1168 976 1104 976
WIRE 1248 976 1248 928
WIRE 1248 976 1168 976
WIRE 2352 976 2352 960
WIRE 1904 992 1856 992
WIRE 2048 992 1984 992
WIRE -144 1008 -144 352
WIRE 848 1008 -144 1008
WIRE 2048 1008 2048 992
WIRE 1632 1056 1632 912
