Version 4
SHEET 1 6000 2436
WIRE 800 -1232 672 -1232
WIRE 928 -1232 880 -1232
WIRE 1056 -1232 928 -1232
WIRE 1168 -1216 1120 -1216
WIRE 1248 -1216 1168 -1216
WIRE 1376 -1216 1328 -1216
WIRE 1472 -1216 1376 -1216
WIRE 1056 -1200 1024 -1200
WIRE 1600 -1200 1536 -1200
WIRE 1648 -1200 1600 -1200
WIRE 928 -1184 928 -1232
WIRE 1472 -1184 1440 -1184
WIRE 1024 -1136 1024 -1200
WIRE 1168 -1136 1168 -1216
WIRE 1168 -1136 1024 -1136
WIRE 1440 -1088 1440 -1184
WIRE 1488 -1088 1440 -1088
WIRE 1600 -1088 1600 -1200
WIRE 1600 -1088 1568 -1088
WIRE 800 -1040 672 -1040
WIRE 928 -1040 880 -1040
WIRE 1056 -1040 928 -1040
WIRE 1184 -1024 1120 -1024
WIRE 1248 -1024 1184 -1024
WIRE 1376 -1024 1376 -1216
WIRE 1376 -1024 1328 -1024
WIRE 1440 -1024 1440 -1088
WIRE 928 -1008 928 -1040
WIRE 1056 -1008 1024 -1008
WIRE 2224 -960 2144 -960
WIRE 2368 -960 2304 -960
WIRE 1024 -944 1024 -1008
WIRE 1184 -944 1184 -1024
WIRE 1184 -944 1024 -944
WIRE 2592 -944 2592 -960
WIRE 1968 -848 1872 -848
WIRE 2144 -848 2144 -960
WIRE 2144 -848 2048 -848
WIRE 2592 -848 2592 -944
WIRE 2144 -816 2144 -848
WIRE 2224 -816 2144 -816
WIRE 2368 -800 2368 -960
WIRE 2368 -800 2288 -800
WIRE 2416 -800 2368 -800
WIRE 2528 -800 2496 -800
WIRE 2224 -784 2144 -784
WIRE 1264 -752 1152 -752
WIRE 1408 -752 1344 -752
WIRE 1968 -736 1872 -736
WIRE 2096 -736 2048 -736
WIRE 2144 -736 2144 -784
WIRE 2144 -736 2096 -736
WIRE 2592 -704 2592 -752
WIRE 336 -672 336 -720
WIRE 512 -672 512 -720
WIRE 1008 -672 912 -672
WIRE 1152 -672 1152 -752
WIRE 1152 -672 1088 -672
WIRE 1232 -672 1152 -672
WIRE 2096 -656 2096 -736
WIRE 1232 -624 1232 -672
WIRE 1264 -624 1232 -624
WIRE 1408 -608 1408 -752
WIRE 1408 -608 1328 -608
WIRE 1456 -608 1408 -608
WIRE 1264 -592 1232 -592
WIRE 2592 -592 2592 -624
WIRE 1008 -544 912 -544
WIRE 1152 -544 1088 -544
WIRE 1232 -544 1232 -592
WIRE 1232 -544 1152 -544
WIRE 336 -528 336 -592
WIRE 512 -528 512 -592
WIRE 2096 -528 2096 -576
WIRE 1152 -480 1152 -544
WIRE 1152 -368 1152 -400
WIRE 96 -32 -240 -32
WIRE 320 -32 96 -32
WIRE 640 -32 320 -32
WIRE 784 -32 736 -32
WIRE 1024 -32 1024 -192
WIRE 1024 -32 784 -32
WIRE 1072 -32 1024 -32
WIRE 1232 -32 1232 -192
WIRE 1232 -32 1152 -32
WIRE 1472 -32 1232 -32
WIRE 1840 -32 1472 -32
WIRE 2000 -32 1840 -32
WIRE 1472 16 1472 -32
WIRE 208 96 160 96
WIRE 256 96 208 96
WIRE 1472 112 1472 96
WIRE 1472 112 1392 112
WIRE 1776 112 1712 112
WIRE 688 128 688 32
WIRE 784 128 784 -32
WIRE 1472 144 1472 112
WIRE -240 176 -240 -32
WIRE 96 176 96 144
WIRE 208 176 208 96
WIRE 208 176 96 176
WIRE 320 208 320 144
WIRE 736 208 736 192
WIRE 736 208 320 208
WIRE 928 208 736 208
WIRE 96 304 96 176
WIRE 320 304 320 208
WIRE 1840 304 1840 -32
WIRE 2000 304 2000 -32
WIRE 1472 320 1472 224
WIRE 1600 320 1472 320
WIRE 1712 320 1712 112
WIRE 32 352 -32 352
WIRE 1392 352 1392 112
WIRE 1392 352 384 352
WIRE -32 400 -32 352
WIRE 1712 400 1648 400
WIRE 1472 416 1472 320
WIRE 96 432 96 400
WIRE 208 432 96 432
WIRE 320 432 320 400
WIRE 320 432 208 432
WIRE 208 464 208 432
WIRE 1712 496 1712 400
WIRE -240 576 -240 256
WIRE -32 576 -32 480
WIRE -32 576 -240 576
WIRE 208 576 208 544
WIRE 208 576 -32 576
WIRE 1472 576 1472 496
WIRE 1472 576 208 576
WIRE 1600 576 1600 416
WIRE 1600 576 1472 576
WIRE 1712 576 1600 576
WIRE 1840 576 1840 384
WIRE 1840 576 1712 576
WIRE 2000 576 2000 368
WIRE 2000 576 1840 576
FLAG 208 576 0
FLAG 1840 -32 Vo
FLAG -32 352 Vref
FLAG -240 -32 VIN
FLAG 1392 112 Vf
FLAG 1776 192 0
FLAG 1232 -192 Vs-
FLAG 1024 -192 Vs+
FLAG 912 -672 Vs-
FLAG 912 -544 Vs+
FLAG 1152 -368 0
FLAG 1456 -608 VS
FLAG 928 -1104 0
FLAG 928 -928 0
FLAG 1440 -944 0
FLAG 672 -1232 Vref
FLAG 672 -1040 Vf
FLAG 1648 -1200 Vref-c
FLAG 2096 -528 0
FLAG 2592 -592 0
FLAG 1872 -848 Vref-c
FLAG 1872 -736 VS
FLAG 2592 -944 Verror
FLAG 928 208 Verror
FLAG 336 -528 0
FLAG 336 -720 V+
FLAG 512 -720 V-
FLAG 512 -528 0
FLAG 1088 -992 V+
FLAG 1296 -640 V+
FLAG 1296 -576 V-
